광역시도,시군구,위도,경도
경기도,포천시,37.8949,127.2003
충청남도,부여군,36.2755,126.9095
경상남도,고성군,34.9754,128.3234
경상북도,포항시,36.019,129.3435
경상남도,남해군,34.8377,127.8924
경기도,고양시,37.6584,126.832
전라남도,신안군,34.8336,126.1086
전라남도,무안군,34.9902,126.4817
경기도,이천시,37.2723,127.4351
충청북도,진천군,36.8553,127.4357
충북,음성군,36.9917,127.6409
충청남도,보령시,36.3333,126.6127
충청북도,음성군,36.9917,127.6409
경남,남해군,34.8377,127.8924
대구광역시,대구광역시,35.8714,128.6014
전남,무안군,34.9902,126.4817
경기도,파주시,37.76,126.7798
전남,나주시,35.0161,126.7107
경기도,경기도,37.2752,127.0096
경상북도,경주시,35.8562,129.2247
경기도,남양주시,37.636,127.2165
충북,진천군,36.8553,127.4357
전라남도,여수시,34.7604,127.6622
경상남도,하동군,35.0672,127.7513
경기도,성남시,37.42,127.1265
경상북도,칠곡군,35.9959,128.4019
경상남도,경상남도,35.2383,128.6924
경상남도,진주시,35.1803,128.1076
경기도,용인시,37.241,127.1775
경상북도,청도군,35.6474,128.734
충북,충주시,36.9915,127.9262
경기도,평택시,36.9921,127.1129
경기도,김포시,37.6152,126.7157
충청남도,예산군,36.6811,126.8455
충남,예산군,36.6811,126.8455
부산광역시,부산광역시,35.1765,129.0797
경기,남양주시,37.636,127.2165
서울특별시,은평구,37.6027,126.9291
경남,진주시,35.1803,128.1076
경기도,가평군,37.8315,127.5097
경기,이천시,37.2723,127.4351
경상남도,산청군,35.4156,127.8735
전라남도,해남군,34.5735,126.6
경상남도,의령군,35.3221,128.2618
전남,고흥군,34.6062,127.2847
충북,청주시,36.6424,127.489
전남,여수시,34.7604,127.6622
서울,송파구,37.5145,127.1066
경기,포천시,37.8949,127.2003
충남,부여군,36.2755,126.9095
대구광역시,달성군,35.8714,128.6014
대구,북구,35.8714,128.6014
경기도,여주군,37.2982,127.6373
경기도,양평군,37.4918,127.4876
경기도,하남시,37.5393,127.2148
전북,정읍시,35.5699,126.8577
경남,거창군,35.6865,127.9095
전북,고창군,35.4358,126.702
전남,해남군,34.5735,126.6
인천광역시,계양구,37.4563,126.7052
충청남도,논산시,36.1872,127.0987
충청북도,충주시,36.9915,127.9262
서울특별시,서울특별시,37.5641,126.9979
경남,김해시,35.2285,128.8893
경상북도,구미시,36.1195,128.3446
강원도,양구군,38.1097,127.9902
경북,구미시,36.1195,128.3446
서울특별시,송파구,37.5145,127.1066
경상남도,밀양시,35.5038,128.7466
인천광역시,인천광역시,37.4563,126.7052
경상북도,군위군,36.2428,128.5728
경기,광주시,37.4293,127.2551
전북,전주시,35.8242,127.148
경기도,양주시,37.8242,127.0793
경기,구리시,37.5943,127.1296
광주,북구,35.1595,126.8526
인천,부평구,37.4563,126.7052
강원,강릉시,37.7519,128.8761
서울,강서구,37.5509,126.8497
인천,계양구,37.4563,126.7052
광주,서구,35.1595,126.8526
울산,남구,35.5384,129.3114
경기,안성시,37.008,127.2797
강원도,횡성군,37.4918,127.985
경기도,안성시,37.008,127.2797
전라북도,익산시,35.9483,126.9578
경상북도,영덕군,36.415,129.3656
전북,익산시,35.9483,126.9578
경상남도,창원시,35.2281,128.6811
광주광역시,광주광역시,35.1595,126.8526
경상남도,통영시,34.8544,128.4332
충청남도,충청남도,36.6588,126.6728
전남,신안군,34.8336,126.1086
전라남도,고흥군,34.6062,127.2847
부산,중구,35.1062,129.0325
전남,광양시,34.9407,127.6959
부산,강서구,35.2122,128.9806
경남,통영시,34.8544,128.4332
충남,공주시,36.4465,127.119
대전,대덕구,36.3504,127.3845
경남,밀양시,35.5038,128.7466
전라남도,전라남도,34.8163,126.4629
경남,창원시,35.2281,128.6811
경남,하동군,35.0672,127.7513
대구,중구,35.8714,128.6014
충남,아산시,36.7898,127.0019
경남,거제시,34.8806,128.6211
경상남도,김해시,35.2285,128.8893
서울,은평구,37.6027,126.9291
대구,달성군,35.8714,128.6014
경기도,광주시,37.4293,127.2551
세종시,세종시,36.48,127.289
경남,고성군,34.9754,128.3234
울산광역시,울산광역시,35.5384,129.3114
광주,광산구,35.1595,126.8526
충청남도,공주시,36.4465,127.119
전남,장흥군,34.6817,126.9067
경북,포항시,36.019,129.3435
경기도,동두천시,37.9032,127.0604
서울,종로구,37.573,126.9794
부산,북구,35.197,128.99
서울,중랑구,37.6065,127.0927
경기,파주시,37.76,126.7798
경기도,화성시,37.1995,126.8315
경남,의령군,35.3221,128.2618
전북,진안군,35.7913,127.4246
경기,용인시,37.241,127.1775
전북,김제시,35.8036,126.8809
전라북도,김제시,35.8036,126.8809
서울,강남구,37.5172,127.0473
광주,남구,35.1595,126.8526
전남,완도군,34.311,126.755
경기도,구리시,37.5943,127.1296
충남,논산시,36.1872,127.0987
부산,사상구,35.1527,128.9905
경기,양평군,37.4918,127.4876
서울,중구,37.5641,126.9979
인천,동구,37.4563,126.7052
충남,청양군,36.4588,126.8031
전라남도,나주시,35.0161,126.7107
울산,중구,35.5384,129.3114
전남,순천시,34.9507,127.4872
경기도,부천시,37.5034,126.766
전라북도,남원시,35.4164,127.3904
충청남도,청양군,36.4588,126.8031
충남,서산시,36.7845,126.4501
전남,곡성군,35.282,127.2919
경남,사천시,35.0038,128.0642
경북,칠곡군,35.9959,128.4019
경남,마산시,35.2281,128.6811
전남,화순군,35.0645,126.9863
강원도,강원도,37.8826,127.7298
전라북도,진안군,35.7913,127.4246
제주,서귀포시,33.2541,126.5601
전북,남원시,35.4164,127.3904
경기,화성시,37.1995,126.8315
전라북도,고창군,35.4358,126.702
충북,청원군,36.6424,127.489
경북,경주시,35.8562,129.2247
경기,시흥시,37.3802,126.8031
충청남도,당진시,36.8906,126.6261
전라남도,보성군,34.7715,127.0802
경상남도,진해시,35.15,128.66
전남,함평군,35.0656,126.5165
경기,고양시,37.6584,126.832
광주,동구,35.1595,126.8526
전라북도,부안군,35.7317,126.733
전남,강진군,34.642,126.7674
경기,김포시,37.6152,126.7157
전북,완주군,35.9048,127.1622
충남,천안시,36.8151,127.1139
전라남도,곡성군,35.282,127.2919
경기,수원시,37.2636,127.0286
경기도,수원시,37.2636,127.0286
경상남도,사천시,35.0038,128.0642
대구광역시,수성구,35.8714,128.6014
대전광역시,대전광역시,36.3504,127.3845
경상북도,안동시,36.5684,128.7294
전라남도,함평군,35.0656,126.5165
전북,장수군,35.6473,127.5211
충남,금산군,36.1087,127.4883
경기,여주군,37.2982,127.6373
경기도,안산시,37.3219,126.8309
전라북도,무주군,36.007,127.6604
전라남도,진도군,34.4868,126.2635
부산,해운대구,35.1631,129.1636
충남,연기군,36.48,127.289
충북,제천시,37.1325,128.1905
부산,기장군,35.2446,129.2223
전북,무주군,36.007,127.6604
대전,중구,36.3504,127.3845
충남,서천군,36.0803,126.6913
충청북도,충청북도,36.6356,127.4913
전남,장성군,35.3018,126.785
부산광역시,기장군,35.2446,129.2223
강원,원주시,37.3422,127.9202
서울특별시,강동구,37.5302,127.1238
서울특별시,중랑구,37.6065,127.0927
경남,양산시,35.335,129.0373
전라북도,완주군,35.9048,127.1622
경북,영양군,36.6667,129.1123
전남,보성군,34.7715,127.0802
충청남도,천안시,36.8151,127.1139
전라북도,전라북도,35.8204,127.1088
인천,미추홀구,37.4563,126.7052
충청남도,태안군,36.7544,126.2974
경북,청도군,35.6474,128.734
인천,남동구,37.4563,126.7052
전북,임실군,35.6178,127.2889
경상남도,창녕군,35.5413,128.4925
경상남도,합천군,35.5666,128.1658
경기,안산시,37.3219,126.8309
강원,태백시,37.1641,128.9856
경기도,안양시,37.3943,126.9568
경기도,광명시,37.4784,126.8647
강원도,평창군,37.3708,128.3902
전남,영암군,34.8002,126.6968
